"","call_exit_id","fun_name","is_call_user","call_stack_depth","is_user_call_with_pipe_operator","caller","line_number","param_index","is_param_missing","name_of_param","is_evaled","expr","is_vararg","type_of_argument","class_of_argument","address_of_argument","package_details"
"1",1,"filter",1,1,1,"function_list[[i]](value)","Called from  at <text>#363
",1,0,".data",1,".",0,"list","tbl_df; tbl; data.frame","0xafb83a8","Package(name='dplyr', directory='/home/nsaripalli/R/x86_64-redhat-linux-gnu-library/3.6', environment=<environment: 0x72f3c40>) "
"2",1,"filter",1,1,1,"function_list[[i]](value)","Called from  at <text>#363
",2,0,"",0,"species == ""Droid""",1,"language","instrumentr_argument; instrumentr_object",NA,"Package(name='dplyr', directory='/home/nsaripalli/R/x86_64-redhat-linux-gnu-library/3.6', environment=<environment: 0x72f3c40>) "
"3",1,"filter",1,1,1,"function_list[[i]](value)","Called from  at <text>#363
",3,0,".preserve",0,"[1] FALSE",0,"logical","logical","Not evaluated, expression is:  [1] FALSE","Package(name='dplyr', directory='/home/nsaripalli/R/x86_64-redhat-linux-gnu-library/3.6', environment=<environment: 0x72f3c40>) "
"4",2,"ggplot",1,1,1,"function_list[[k]](value)","Called from  at <text>#363
",1,0,"data",1,".",0,"list","tbl_df; tbl; data.frame","0x79f4f68","Package(name='ggplot2', directory='/home/nsaripalli/R/x86_64-redhat-linux-gnu-library/3.6', environment=<environment: 0x6fe7320>) "
"5",2,"ggplot",1,1,1,"function_list[[k]](value)","Called from  at <text>#363
",2,0,"mapping",1,"aes(x = height, y = birth_year)",0,"list","uneval","0x8343008","Package(name='ggplot2', directory='/home/nsaripalli/R/x86_64-redhat-linux-gnu-library/3.6', environment=<environment: 0x6fe7320>) "
"6",2,"ggplot",1,1,1,"function_list[[k]](value)","Called from  at <text>#363
",4,0,"environment",1,"parent.frame()",0,"environment","environment","0x99ee258","Package(name='ggplot2', directory='/home/nsaripalli/R/x86_64-redhat-linux-gnu-library/3.6', environment=<environment: 0x6fe7320>) "
"7",3,"geom_point",1,1,0,"doTryCatch(return(expr), name, parentenv, handler)","Called from  at <text>#363
",1,0,"mapping",1,"NULL",0,"NULL","NULL","0x1e446e0","Package(name='ggplot2', directory='/home/nsaripalli/R/x86_64-redhat-linux-gnu-library/3.6', environment=<environment: 0x6fe7320>) "
"8",3,"geom_point",1,1,0,"doTryCatch(return(expr), name, parentenv, handler)","Called from  at <text>#363
",2,0,"data",1,"NULL",0,"NULL","NULL","0x1e446e0","Package(name='ggplot2', directory='/home/nsaripalli/R/x86_64-redhat-linux-gnu-library/3.6', environment=<environment: 0x6fe7320>) "
"9",3,"geom_point",1,1,0,"doTryCatch(return(expr), name, parentenv, handler)","Called from  at <text>#363
",3,0,"stat",1,"[1] ""identity""",0,"character","character","0x8484e10","Package(name='ggplot2', directory='/home/nsaripalli/R/x86_64-redhat-linux-gnu-library/3.6', environment=<environment: 0x6fe7320>) "
"10",3,"geom_point",1,1,0,"doTryCatch(return(expr), name, parentenv, handler)","Called from  at <text>#363
",4,0,"position",1,"[1] ""identity""",0,"character","character","0x8484dd8","Package(name='ggplot2', directory='/home/nsaripalli/R/x86_64-redhat-linux-gnu-library/3.6', environment=<environment: 0x6fe7320>) "
"11",3,"geom_point",1,1,0,"doTryCatch(return(expr), name, parentenv, handler)","Called from  at <text>#363
",6,0,"na.rm",1,"[1] FALSE",0,"logical","logical","0x8484da0","Package(name='ggplot2', directory='/home/nsaripalli/R/x86_64-redhat-linux-gnu-library/3.6', environment=<environment: 0x6fe7320>) "
"12",3,"geom_point",1,1,0,"doTryCatch(return(expr), name, parentenv, handler)","Called from  at <text>#363
",7,0,"show.legend",1,"[1] NA",0,"logical","logical","0x8484d68","Package(name='ggplot2', directory='/home/nsaripalli/R/x86_64-redhat-linux-gnu-library/3.6', environment=<environment: 0x6fe7320>) "
"13",3,"geom_point",1,1,0,"doTryCatch(return(expr), name, parentenv, handler)","Called from  at <text>#363
",8,0,"inherit.aes",1,"[1] TRUE",0,"logical","logical","0x8484d30","Package(name='ggplot2', directory='/home/nsaripalli/R/x86_64-redhat-linux-gnu-library/3.6', environment=<environment: 0x6fe7320>) "
"14",4,"+.gg",1,1,0,"doTryCatch(return(expr), name, parentenv, handler)","Called from  at <text>#363
",1,0,"e1",1,"starwars %>% filter(species == ""Droid"") %>% ggplot(aes(x = height, ",0,"list","gg; ggplot","0x9db3668","Package(name='ggplot2', directory='/home/nsaripalli/R/x86_64-redhat-linux-gnu-library/3.6', environment=<environment: 0x6fe7320>) "
"15",4,"+.gg",1,1,0,"doTryCatch(return(expr), name, parentenv, handler)","Called from  at <text>#363
",1,0,"e1",1,"    y = birth_year))",0,"list","gg; ggplot","0x9db3668","Package(name='ggplot2', directory='/home/nsaripalli/R/x86_64-redhat-linux-gnu-library/3.6', environment=<environment: 0x6fe7320>) "
"16",4,"+.gg",1,1,0,"doTryCatch(return(expr), name, parentenv, handler)","Called from  at <text>#363
",2,0,"e2",1,"geom_point()",0,"environment","LayerInstance; Layer; ggproto; gg","0x9400258","Package(name='ggplot2', directory='/home/nsaripalli/R/x86_64-redhat-linux-gnu-library/3.6', environment=<environment: 0x6fe7320>) "
