"","call_exit_id","fun_name","type_of_output","class_of_output","address_of_output"
"1",1,"filter","list","tbl_df; tbl; data.frame","0x8fc7f68"
"2",2,"filter","list","tbl_df; tbl; data.frame","0x8def938"
"3",3,"filter","list","tbl_df; tbl; data.frame","0x96595c8"
"4",4,"filter","list","tbl_df; tbl; data.frame","0x7763a28"
"5",5,"filter","list","tbl_df; tbl; data.frame","0x1a2c3b8"
"6",6,"filter","list","tbl_df; tbl; data.frame","0x8059f98"
"7",7,"filter","list","tbl_df; tbl; data.frame","0x8d71fe8"
"8",8,"filter","list","tbl_df; tbl; data.frame","0x92d9468"
"9",9,"filter","list","tbl_df; tbl; data.frame","0x9e293f8"
"10",10,"filter","list","tbl_df; tbl; data.frame","0x63cf3e8"
"11",11,"filter","list","tbl_df; tbl; data.frame","0x52b0118"
"12",12,"ggplot","list","gg; ggplot","0x8c0d608"
"13",13,"geom_point","environment","LayerInstance; Layer; ggproto; gg","0x8377c58"
"14",14,"+.gg","list","gg; ggplot","0x8638d88"
"15",15,"select","list","tbl_df; tbl; data.frame","0x8f17158"
"16",16,"mutate","list","tbl_df; tbl; data.frame","0x7997cc8"
"17",17,"select","list","tbl_df; tbl; data.frame","0x8d7b908"
"18",18,"arrange","list","tbl_df; tbl; data.frame","0x99e7288"
"19",19,"group_by","list","grouped_df; tbl_df; tbl; data.frame","0xa468468"
"20",20,"summarise","list","tbl_df; tbl; data.frame","0x8048638"
"21",21,"filter","list","tbl_df; tbl; data.frame","0x8660fe8"
"22",22,"summarise","list","tbl_df; tbl; data.frame","0x78a6ac8"
"23",23,"group_by","list","grouped_df; tbl_df; tbl; data.frame","0x4b789f8"
"24",24,"filter","list","grouped_df; tbl_df; tbl; data.frame","0x897e498"
"25",25,"summarise","list","tbl_df; tbl; data.frame","0x9a49328"
"26",26,"group_by","list","grouped_df; tbl_df; tbl; data.frame","0xace08b8"
"27",27,"filter","list","grouped_df; tbl_df; tbl; data.frame","0x8dff868"
"28",28,"summarise","list","tbl_df; tbl; data.frame","0x9a93288"
"29",29,"group_by","list","grouped_df; tbl_df; tbl; data.frame","0x84946e8"
"30",30,"summarise","list","tbl_df; tbl; data.frame","0x93ef618"
"31",31,"summarise","list","tbl_df; tbl; data.frame","0x7338588"
"32",32,"summarise","list","tbl_df; tbl; data.frame","0x71311b8"
"33",33,"summarise","list","tbl_df; tbl; data.frame","0x8817f68"
"34",34,"mutate","list","tbl_df; tbl; data.frame","0xa3fc958"
"35",35,"summarise","list","data.frame","0xa8a6428"
"36",36,"summarise","list","data.frame","0x8a397c8"
"37",37,"summarise","list","data.frame","0x9c4a7c8"
"38",38,"mutate","list","tbl_df; tbl; data.frame","0x8c69728"
"39",39,"filter","list","tbl_df; tbl; data.frame","0x3cfce78"
"40",40,"distinct","list","tbl_df; tbl; data.frame","0xa05d958"
"41",41,"count","list","tbl_df; tbl; data.frame","0xb011868"
"42",42,"mutate_if","list","tbl_df; tbl; data.frame","0x7bc8d98"
"43",43,"mutate","list","tbl_df; tbl; data.frame","0x8836348"
"44",44,"mutate_at","list","tbl_df; tbl; data.frame","0x86a8608"
"45",45,"mutate","list","tbl_df; tbl; data.frame","0x90a4658"
"46",46,"mutate","list","tbl_df; tbl; data.frame","0x725a438"
"47",47,"filter","list","tbl_df; tbl; data.frame","0xaaf37a8"
"48",48,"filter","list","tbl_df; tbl; data.frame","0xb011298"
"49",49,"mutate_all","list","tbl_df; tbl; data.frame","0x9e3da68"
"50",50,"mutate","list","tbl_df; tbl; data.frame","0xac62298"
